,이름,평점(별),작성시간,내용
58,ulmig _,2개,2023년 12월 13일,최근 1년간 무신사에서 스무건 정도 결제하고 실소비액 70만원 이상 썼는데 연말 결산해보니 브랜드 공식홈페이지와 w컨셉 등 타 플랫폼에서 결제 금액이 2배 가까이 되더라구요 여러 브랜드가 입점되어있는 건 좋지만 너무 과도해서 원하는 상품을 찾기 어려워요 예를 들어 제가 스포츠 볼캡을 사고 싶어 카테고리를 찾아 들어가면 스포츠 모자에 여성 바라클라바가 나와요... 그러다보니 퀄리티 있고 제 니즈에 맞는 의류가 적절하게 있는 w컨셉 한스타일 등등 타 플랫폼에 더 손이 가는 거 같아요 ;○; 앞으로는 사용빈도가 점점 더 줄어들 것 같아요 유신사 안녕..........
59,김하연,3개,2024년 3월 3일,요즘 상품마다 다 예약배송 걸어놔서 빨리받기 어려워요 해외배송도 아니고 예약배송 한달뒤에 걸어놔서 기다리느라 목빠질거같습니다 예약배송 제한 걸었으면 좋겠어요 ㅜㅜ판매업만 편하고 소비자들은 너무 불편함 ㅜ
60,홍시군,2개,2024년 3월 26일,이번주 들어서 자꾸 들어갈때 한번씩 로그아웃이 되어 있습니다! 저는 로그아웃 한적이 없는데......
61,김서영,4개,2024년 1월 9일,다 좋은데 좋아요 목록에서 카테고리 분류가 너무 정신없어요. 어떤 제품을 찾을래도 찾기가 힘듭니다ㅠㅠ 크게 분류하고 순서도 고정시켜주시면 좋을 것 같아요..!
62,지성박,1개,2024년 3월 21일,업데이트 이후 부터 자동로그인 계속풀리는데 의도된거임? 굉장히 불편함
63,귀요미,1개,2024년 3월 13일,배송 너무 느려요 배송시스템만 잘되있어도 좋을텐데 그게 젤 아쉽네요!!
64,"When they go low, we go high",4개,2024년 3월 11일,좋습니다. 허나 최적화를 좀 많이 계선해야할것 같네요. 특히 장바구니에서의 딜레이가 심합니다.
65,최순희,5개,2024년 3월 11일,다 좋은데 가격이 비싸요 그래도 가-끔은 싼게 나와서 다행입니다 품질이 떨어지지도 않고 너무 좋아요 ^^
66,-_-,5개,2023년 12월 18일,"우선 사용자가 많아서 커뮤니티가 활발하고 사람들이 리뷰도 많이 남겨주어서 옷을 살때 비교적 좋습니다. 또 리뷰를 올리거나 미션을 참여하면 포인트를 줘서 옷을 더 저렴하게 살 수도 있습니다. 다만 원하는 브랜드가 없는 경우도 있고, 리뷰가 없거나 적은 제품은 제대로 된 제품 정보를 얻기 어렵습니다."
67,Google 사용자,5개,2024년 1월 15일,원하는 스타일일 제품을 관련상품으로 원하는 가격대 내에서 선택가능해서 좋습니다. 정말 관리자 천재임
